title,source,composer,arranger,instrumentation,duration,year,ensemble,purchaseLink,premiere
Title Screen,The Legend of Zelda: Ocarina of Time,Koji Kondo,Daniel Kim,"Flute, Clarinet, Bassoon, Piano","3'00""",2023,Quartet,-,Nintendo Cafe
Main Theme,The Legend of Zelda,Koji Kondo,Daniel Kim,"Flute, Clarinet, Bassoon, Piano","3'30""",2023,Quartet,-,Nintendo Cafe
New Horizons Variations,Animal Crossing: New Horizons,Kazumi Totaka,Daniel Kim,"Flute, Clarinet, Bassoon, Piano","17'00""",2022,Quartet,-,AMP x AARC
Mii Plaza,Nintendo Wii,Kazumi Totaka,Daniel Kim,"Flute, Clarinet, Bassoon, Piano","2'00""",2023,Quartet,-,Nintendo Cafe
Gusty Garden Galaxy,Super Mario Galaxy,Mahito Yokota,Daniel Kim,"Flute, Clarinet, Bassoon, Piano","4'30""",2023,Quartet,-,Nintendo Cafe
Green Greens,Kirby's Dream Land,Jun Ishikawa,Daniel Kim,"Flute, Clarinet, Bassoon, Piano","2'00""",2023,Quartet,-,Nintendo Cafe
Bubblegum K.K.,Animal Crossing: New Horizons,Kazumi Totaka,Daniel Kim,"Flute, Clarinet, Bassoon, Piano",,2022,Quartet,-,AMP x AARC
Every Summertime,Shang-Chi and the Legend of the Ten Rings,Niki,Lindsay Chu,"Flute, Piano",-,2022,Duet,-,A Studio Ghibli Tribute
My Neighbor Totoro Medley (Extended),My Neighbor Totoro,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","5'00""",2022,Trio,-,A Studio Ghibli Tribute
Laputa: Castle in the Sky,Laputa: Castle in the Sky,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano",-,2022,Trio,-,A Studio Ghibli Tribute
Summer,-,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","3'30""",2022,Trio,https://www.sheetmusicplus.com/title/summer-digital-sheet-music/22486762,A Studio Ghibli Tribute
Ponyo Medley,Ponyo on the Cliff,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","6'00""",2022,Trio,-,A Studio Ghibli Tribute
Merry-Go-Round of Life,Howl's Moving Castle,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","3'30""",2022,Trio,https://www.sheetmusicplus.com/title/merry-go-round-of-life-digital-sheet-music/22486772,A Studio Ghibli Tribute
The Avatar's Love,Avatar: The Last Airbender,Jeremy Zuckerman,Daniel Kim,"Flute, Cello, Piano","1'30""",2022,Trio,-,A Studio Ghibli Tribute
Ashitaka and San,Princess Mononoke,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","5'30""",2022,Trio,-,A Studio Ghibli Tribute
Princess Mononoke Medley,Princess Mononoke,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","6'00""",2022,Trio,-,A Studio Ghibli Tribute
The Sixth Station,Spirited Away,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","4'00""",2022,Trio,-,A Studio Ghibli Tribute
Spirited Away Medley,Spirited Away,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","4'30""",2022,Trio,-,A Studio Ghibli Tribute
